producto,valor,mes,año
"arroz g 22,2 81,1",486.0,diciembre,2015
"espiral g 20,2 26,2",589.7,diciembre,2015
"galleta dulce g 1,1 5,4",92.9,diciembre,2015
"galleta no dulce g 0,5 1,9",43.3,diciembre,2015
"torta 15 o 20 personas g 7,2 27,2",354.4,diciembre,2015
"prepizza familiar g 0,8 0,1",51.8,diciembre,2015
"avena g 5,1 0,1",196.6,diciembre,2015
"asiento g 0,3 0,4",62.9,diciembre,2015
"carne molida g 4,9 8,5",440.5,diciembre,2015
"g 0,0 0,1",5.6,diciembre,2015
"g 0,0 0,1",6.4,diciembre,2015
"arroz g 22,2 81,1",486.0,diciembre,2016
"espiral g 20,2 26,2",589.7,diciembre,2016
"galleta dulce g 1,1 5,4",92.9,diciembre,2016
"galleta no dulce g 0,5 1,9",43.3,diciembre,2016
"torta 15 o 20 personas g 7,2 27,2",354.4,diciembre,2016
"prepizza familiar g 0,8 0,1",51.8,diciembre,2016
"avena g 5,1 0,1",196.6,diciembre,2016
"asiento g 0,3 0,4",62.9,diciembre,2016
"carne molida g 4,9 8,5",440.5,diciembre,2016
"g 0,0 0,1",5.6,diciembre,2016
"g 0,0 0,1",6.4,diciembre,2016
"arroz g 22,2 81,1",486.0,diciembre,2017
"espiral g 20,2 26,2",589.7,diciembre,2017
"galleta dulce g 1,1 5,4",92.9,diciembre,2017
"galleta no dulce g 0,5 1,9",43.3,diciembre,2017
"torta 15 o 20 personas g 7,2 27,2",354.4,diciembre,2017
"prepizza familiar g 0,8 0,1",51.8,diciembre,2017
"avena g 5,1 0,1",196.6,diciembre,2017
"asiento g 0,3 0,4",62.9,diciembre,2017
"carne molida g 4,9 8,5",440.5,diciembre,2017
"g 0,0 0,1",5.6,diciembre,2017
"g 0,0 0,1",6.4,diciembre,2017
"arroz g 22,2 81,1",486.0,diciembre,2018
"espiral g 20,2 26,2",589.7,diciembre,2018
"galleta dulce g 1,1 5,4",92.9,diciembre,2018
"galleta no dulce g 0,5 1,9",43.3,diciembre,2018
"torta 15 o 20 personas g 7,2 27,2",354.4,diciembre,2018
"prepizza familiar g 0,8 0,1",51.8,diciembre,2018
"avena g 5,1 0,1",196.6,diciembre,2018
"asiento g 0,3 0,4",62.9,diciembre,2018
"carne molida g 4,9 8,5",440.5,diciembre,2018
"g 0,0 0,1",5.6,diciembre,2018
"g 0,0 0,1",6.4,diciembre,2018
"arroz g 22,2 81,1",486.0,diciembre,2019
"espiral g 20,2 26,2",589.7,diciembre,2019
"galleta dulce g 1,1 5,4",92.9,diciembre,2019
"galleta no dulce g 0,5 1,9",43.3,diciembre,2019
"torta 15 o 20 personas g 7,2 27,2",354.4,diciembre,2019
"prepizza familiar g 0,8 0,1",51.8,diciembre,2019
"avena g 5,1 0,1",196.6,diciembre,2019
"asiento g 0,3 0,4",62.9,diciembre,2019
"carne molida g 4,9 8,5",440.5,diciembre,2019
"g 0,0 0,1",5.6,diciembre,2019
"g 0,0 0,1",6.4,diciembre,2019
"arroz g 22,2 81,1",486.0,diciembre,2020
"espiral g 20,2 26,2",589.7,diciembre,2020
"galleta dulce g 1,1 5,4",92.9,diciembre,2020
"galleta no dulce g 0,5 1,9",43.3,diciembre,2020
"torta 15 o 20 personas g 7,2 27,2",354.4,diciembre,2020
"prepizza familiar g 0,8 0,1",51.8,diciembre,2020
"avena g 5,1 0,1",196.6,diciembre,2020
"asiento g 0,3 0,4",62.9,diciembre,2020
"carne molida g 4,9 8,5",440.5,diciembre,2020
"g 0,0 0,1",5.6,diciembre,2020
"g 0,0 0,1",6.4,diciembre,2020
"arroz g 22,2 81,1",486.0,diciembre,2021
"espiral g 20,2 26,2",589.7,diciembre,2021
